;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
United Nations;;;;;;;;;;;;;;;;;;;;;;
Population Division;;;;;;;;;;;;;;;;;;;;;;
Department of Economic and Social Affairs;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
World Population Prospects: The 2015 Revision;;;;;;;;;;;;;;;;;;;;;;
File POP/5: Median age by major area, region and country, 1950-2100 (years);;;;;;;;;;;;;;;;;;;;;;
Medium fertility variant, 2015 - 2100;;;;;;;;;;;;;;;;;;;;;;
POP/DB/WPP/Rev.2015/POP/F05;;;;;;;;;;;;;;;;;;;;;;
July 2015 - Copyright © 2015 by United Nations. All rights reserved;;;;;;;;;;;;;;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;Median age of the total population (years);;;;;;;;;;;;;;;;;
Index;Variant;Major area, region, country or area *;Notes;Country code;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
68;Medium variant;Liberia;;430;18.6;19.3;20.1;21.1;21.9;22.8;23.8;24.7;25.7;26.8;27.9;28.9;29.9;31.0;32.0;33.1;34.1;35.1
69;Medium variant;Mali;;466;16.2;16.5;17.2;17.9;18.6;19.4;20.3;21.4;22.6;23.8;25.1;26.5;27.8;29.2;30.5;31.9;33.3;34.6
70;Medium variant;Mauritania;;478;19.8;20.4;21.2;22.1;23.0;23.8;24.7;25.5;26.4;27.3;28.2;29.1;29.9;30.8;31.6;32.4;33.2;34.0
71;Medium variant;Niger;;562;14.8;14.8;14.9;15.2;15.7;16.3;17.0;17.8;18.7;19.6;20.7;21.9;23.1;24.3;25.5;26.8;28.1;29.4
72;Medium variant;Nigeria;;566;17.9;18.2;18.7;19.3;20.0;20.8;21.6;22.5;23.4;24.4;25.4;26.4;27.5;28.5;29.4;30.4;31.4;32.4
73;Medium variant;Senegal;;686;18.0;18.3;18.8;19.6;20.7;21.7;22.6;23.5;24.5;25.5;26.6;27.7;28.8;29.9;31.1;32.2;33.4;34.5
74;Medium variant;Sierra Leone;;694;18.5;19.2;20.1;21.3;22.5;23.8;25.0;26.4;27.7;29.0;30.3;31.5;32.7;33.8;34.8;35.7;36.6;37.4
75;Medium variant;Togo;;768;18.7;19.2;20.0;21.0;21.9;22.8;23.7;24.6;25.5;26.5;27.6;28.6;29.6;30.7;31.8;32.8;33.9;34.9
76;Medium variant;ASIA;;935;30.3;32.1;33.8;35.4;36.7;37.8;38.9;39.9;41.0;41.9;42.8;43.5;44.0;44.5;45.0;45.5;46.0;46.5
77;Medium variant;Eastern Asia;;906;37.9;39.6;41.5;43.7;46.1;48.0;49.5;49.9;50.0;50.3;50.9;51.3;51.4;51.0;50.7;50.6;50.8;51.0
78;Medium variant;China;4;156;37.0;38.7;40.7;43.2;45.7;47.7;49.2;49.6;49.7;50.1;50.8;51.3;51.4;51.1;50.7;50.6;50.8;51.1
79;Medium variant;China, Hong Kong SAR;5;344;43.2;45.1;46.9;48.6;50.3;51.6;52.5;52.7;51.7;50.0;50.0;50.2;50.2;50.1;49.6;49.0;48.8;49.2
80;Medium variant;China, Macao SAR;6;446;37.9;39.4;41.5;43.7;45.8;47.2;47.8;47.0;45.8;45.6;45.8;46.1;46.2;45.9;45.6;45.5;45.8;46.4
81;Medium variant;Dem. People's Republic of Korea;;408;33.9;35.0;36.1;37.3;38.6;39.7;40.6;41.0;41.4;41.9;42.6;43.3;44.0;44.4;44.7;45.1;45.5;46.0
82;Medium variant;Japan;;392;46.5;48.3;50.2;51.5;52.4;53.0;53.3;53.3;53.4;53.2;52.9;52.5;52.1;51.8;51.6;51.6;51.6;51.7
83;Medium variant;Mongolia;;496;27.3;29.0;30.4;31.2;31.6;32.5;33.8;35.4;36.7;37.9;38.9;39.6;40.2;40.8;41.4;42.2;43.0;43.9
84;Medium variant;Republic of Korea;;410;40.6;43.1;45.4;47.5;49.4;51.0;52.5;53.9;54.8;54.4;53.7;53.1;52.9;52.8;52.9;52.7;52.3;52.0
85;Medium variant;Other non-specified areas;;158;39.7;42.6;45.5;48.1;50.7;52.7;54.5;56.2;57.5;58.5;58.7;58.0;57.3;56.4;55.7;55.3;54.6;53.8
86;Medium variant;South-Central Asia;7;921;26.1;27.6;29.1;30.6;32.2;33.7;35.2;36.6;38.0;39.3;40.5;41.6;42.5;43.4;44.2;44.9;45.6;46.2
87;Medium variant;Central Asia;;5500;26.5;27.9;29.3;30.2;30.8;31.8;33.0;34.4;35.7;36.7;37.4;38.0;38.5;39.3;40.1;41.0;41.7;42.2
88;Medium variant;Kazakhstan;;398;29.3;30.6;31.7;31.9;31.5;32.0;33.1;34.3;35.3;36.1;36.7;37.2;37.8;38.5;39.4;40.4;41.2;41.8
89;Medium variant;Kyrgyzstan;;417;25.1;26.2;27.0;27.5;28.0;29.1;30.7;32.1;33.3;34.3;35.1;36.0;36.9;37.9;39.0;40.2;41.1;41.8
90;Medium variant;Tajikistan;;762;22.5;23.3;24.1;24.8;25.7;27.1;28.4;29.6;30.8;31.8;32.8;33.7;34.7;35.9;37.1;38.2;39.3;40.1
91;Medium variant;Turkmenistan;;795;26.4;28.2;30.1;31.5;32.9;34.2;35.4;36.7;37.9;39.0;39.9;40.5;40.9;41.3;41.7;42.1;42.5;42.8
92;Medium variant;Uzbekistan;;860;26.3;28.1;29.9;31.4;32.6;33.6;34.8;36.4;37.9;39.2;40.1;40.6;41.1;41.6;42.3;42.9;43.4;43.7
93;Medium variant;Southern Asia;;5501;26.1;27.6;29.1;30.6;32.2;33.8;35.3;36.7;38.1;39.4;40.6;41.7;42.7;43.6;44.4;45.1;45.8;46.3
94;Medium variant;Afghanistan;;4;17.5;18.9;20.6;22.5;24.3;26.1;27.9;29.8;31.7;33.5;35.2;36.8;38.3;39.6;40.7;41.6;42.4;43.0
95;Medium variant;Bangladesh;;50;25.6;27.5;29.4;31.5;33.6;35.8;37.8;39.6;41.3;42.9;44.4;45.7;46.7;47.5;48.1;48.6;48.8;49.0
96;Medium variant;Bhutan;;64;26.7;29.1;31.4;33.7;35.9;38.0;39.9;41.9;43.5;44.9;46.2;47.2;48.0;48.5;48.7;48.9;49.0;49.0
97;Medium variant;India;;356;26.6;28.1;29.6;31.2;32.8;34.3;35.9;37.3;38.6;39.9;41.1;42.2;43.3;44.2;45.0;45.8;46.4;47.0
98;Medium variant;Iran (Islamic Republic of);;364;29.5;32.4;35.5;38.3;40.9;42.6;43.8;44.7;46.2;47.7;49.1;49.9;49.9;49.1;48.6;48.8;49.2;49.4
99;Medium variant;Maldives;;462;26.4;28.8;31.3;33.9;36.2;38.1;39.7;41.4;43.4;45.4;47.2;48.6;49.4;49.5;49.4;49.5;49.9;50.3
100;Medium variant;Nepal;;524;23.1;24.8;27.0;29.3;31.8;34.3;36.7;38.9;40.9;42.9;44.8;46.6;48.2;49.5;50.4;50.9;51.3;51.5
101;Medium variant;Pakistan;;586;22.5;23.5;24.5;25.5;26.8;28.1;29.5;30.9;32.2;33.4;34.6;35.6;36.7;37.8;38.9;40.0;41.0;41.8
102;Medium variant;Sri Lanka;;144;32.3;34.0;35.6;37.0;38.3;39.5;41.0;42.5;44.1;45.4;46.5;47.3;48.0;48.8;49.6;50.5;51.2;51.6
103;Medium variant;South-Eastern Asia;;920;28.8;30.2;31.7;33.1;34.4;35.5;36.5;37.6;38.6;39.5;40.3;41.0;41.6;42.2;42.7;43.2;43.7;44.2
104;Medium variant;Brunei Darussalam;;96;30.6;33.0;35.5;37.8;40.0;42.1;43.9;45.4;46.4;47.4;48.4;49.2;49.7;50.0;50.2;50.4;50.6;50.9
105;Medium variant;Cambodia;;116;23.9;25.6;27.1;28.6;29.8;31.3;32.9;34.5;36.3;37.9;39.3;40.5;41.7;42.8;43.8;44.9;45.8;46.5
106;Medium variant;Indonesia;;360;28.4;29.4;30.6;31.9;33.2;34.4;35.3;36.5;37.5;38.4;39.2;40.0;40.7;41.3;41.9;42.5;43.0;43.5
107;Medium variant;Lao People's Democratic Republic;;418;21.9;23.4;24.9;26.4;28.1;29.8;31.7;33.7;35.6;37.5;39.3;40.9;42.3;43.5;44.7;45.7;46.7;47.4
108;Medium variant;Malaysia;8;458;28.5;30.6;32.6;34.5;36.3;38.0;39.5;40.5;41.5;42.5;43.6;44.6;45.4;46.0;46.4;46.7;47.0;47.3
109;Medium variant;Myanmar;;104;27.9;29.3;30.8;32.4;33.9;35.5;36.9;38.0;38.8;39.5;40.1;40.7;41.3;41.8;42.1;42.3;42.5;42.7
110;Medium variant;Philippines;;608;24.2;25.4;26.6;27.7;28.7;29.7;30.8;32.0;33.1;34.2;35.2;36.3;37.2;38.2;39.1;39.9;40.7;41.5
111;Medium variant;Singapore;;702;40.0;42.5;44.9;47.0;48.8;50.3;51.7;53.0;53.9;54.6;55.0;55.3;55.6;55.8;56.1;56.4;56.6;56.8
112;Medium variant;Thailand;;764;38.0;40.5;42.7;44.8;46.6;48.2;49.6;50.6;51.4;52.0;52.5;52.8;52.8;52.6;52.4;52.3;52.1;51.9
113;Medium variant;Timor-Leste;;626;18.5;18.5;18.7;19.2;20.6;21.9;23.1;24.3;25.5;26.9;28.4;29.8;31.5;33.1;34.7;36.2;37.7;39.0
114;Medium variant;Viet Nam;;704;30.4;32.6;34.8;37.0;39.0;40.2;41.0;41.9;42.9;43.9;44.8;45.4;45.6;45.6;45.7;46.0;46.3;46.7
115;Medium variant;Western Asia;;922;26.3;27.5;28.7;29.9;31.0;32.1;33.2;34.3;35.4;36.3;37.2;37.9;38.6;39.2;39.9;40.6;41.2;41.7
116;Medium variant;Armenia;;51;34.6;36.6;38.8;41.4;43.8;46.0;46.9;46.9;47.4;48.5;49.9;50.8;51.1;50.6;49.9;49.8;50.2;50.5
117;Medium variant;Azerbaijan;9;31;30.9;32.8;35.0;37.1;38.6;38.9;38.3;38.6;40.1;41.3;42.0;42.0;42.0;42.3;42.9;43.5;44.0;44.2
118;Medium variant;Bahrain;;48;30.3;31.5;33.5;35.6;37.4;39.3;40.7;42.2;43.7;45.1;45.9;46.5;46.8;47.1;47.3;47.5;47.7;47.9
119;Medium variant;Cyprus;10;196;35.9;38.0;40.1;41.9;43.7;45.5;46.8;47.5;48.0;48.4;48.8;49.0;49.0;48.9;48.7;48.6;48.6;48.7
